shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
MS 13,Journal de sainct voyage pour visiter le sainct sepulcre,Preface|Journal de sainct voyage pour visiter le sainct sepulcre|De candye|Du sainct sepulcre de n[ost]re seigneur|De la disposition de toute leglise en general|Du mont de calvaire|De leglise de bethleem|De bethleem|De iherico|De la cite de damas|De la cite de ierusalem et de la maniere de vivre et des h[ab]itans dicelle|Du temple salomon|Du Retour de iherusalem|De la cite de famagosse|De nycossie|De la cite de corffou,"",Middle French (ca. 1400-1600); Latin,frm|lat,"","Rouen, France",Data/0003/BMC_MS13/data/BMC_MS13_TEI.xml
MS 47,De miseria conditionis humanae,"Poggio Bracciolini, De miseria conditionis humanae","",Latin,lat,"",Italy,Data/0003/BMC_MS47/data/BMC_MS47_TEI.xml
MS 40,"Oratio in laudem rei publicae venetorum; Vita caroli magni, etc.","Oratio in laudem rei publicae venetorum, Poggio Bracciolini|Vita Excellentissimi Imperatoris Magni Caroli, Einhard|Confessio, Alcuin","",Latin,lat,"",Northern Italy,Data/0003/BMC_MS40/data/BMC_MS40_TEI.xml
MS 49,"Epistulae; De Clementia; Sermo de corpore Christi; Meditationes; Epistula de morte S. Hireronymi; De quatuor virtutibus; Epistula ad Cyrillum; Epistula ad Augustinum, etc.","Giovanni da Calvoli, Meditationes vitae Christi|Table of contents|Pseudo-Eusebius of Cremona, Epistula de morte Sancti Hieronimi|Pseudo-Augustinus, Epistula ad Cyrillum de laudibus beati Hieronymi|Pseudo-Cyrillus, Epistula ad Augustinum de miraculis beati Hieronymi|Saint Jerome, Epistula ad Nepotianum|Saint Jerome, Epistula ad Eustochium|Saint Jerome, Epistula ad Heliodorum monachum|Saint Jerome, Epistula ad Paulinum presbyterum|Pseudo-Saint Jerome, Epistula ad Occeanum|Excerpts from Saint.Jerome, Adversus Jovinianum Admonitio|Saint Jerome, Epistula ad Furiam de viduitate servanda|Saint Jerome, Epistula consolatoria ad Paulam de morte Blesillae|Saint Jerome, Epistula ad Demetriadem virginem|Saint Jerome, Epistula ad Laetam de institutione filiam|Saint Jerome, Epistula ad Sabinianum diaconum cohortatoria de paenitentia|Saint Jerome, Epistula ad Rusticum monachum|Saint Jerome, Epistula ad Antonium monachum Haemonae|Saint Jerome, Alexandri Regis Magni Macedonum et Dindimi Bragmanorum Regis per litteras collatio|Pseudo-Seneca, De copia verborum|Seneca, De clementia, Proemium, III 1-III 24|Seneca, De clementia, I 1-II 5|Pseudo-Seneca, De remediis fortuitorum|Franciscus de Mayronis, Sermo de corpore Christi|Notabilia bona et utilia","",Latin,lat,"","Tuscany?, Italy",Data/0003/BMC_MS49/data/BMC_MS49_TEI.xml
MS 12,Homeliae in johannis evangelium,Homiliae B. Johannis Chrysostomi in Johannis Evangelium,"",Latin,lat,"","Rome, Italy",Data/0003/BMC_MS12/data/BMC_MS12_TEI.xml
MS 15,Historiae adversus paganos,Table of contents|Historiae adversus paganos,"",Latin,lat,"",Italy,Data/0003/BMC_MS15/data/BMC_MS15_TEI.xml
MS 23,"Book of Hours, Use of Le Mans (""Leighton Hours"")","Calendar, in French|Hours of the Virgin, Use of Le Mans (beginning lacking)|Penitential Psalms, followed by Litany and prayers|Gospel Lessons, from John only|Office of the Dead","",Latin; Middle French (ca. 1400-1600),lat|frm,"",France,Data/0003/BMC_MS23/data/BMC_MS23_TEI.xml
MS 24,"Lawrence hours, use of Cambrai","Calendar from the region of Valenciennes-Mons, in French|Prayers and Psalms|Ordinary of the Mass|Hours of the Virgin|Office of the Holy Cross|Office of the Holy Spirit|Suffrage to St. Barbara|Penitential Psalms and Litany|Office of the Dead|Fifteen joys of the Virgin","","Latin; Middle French (ca. 1400-1600); Dutch, Flemish; Dutch, Flemish; German",lat|frm|dut|nld|ger,"","French Flanders region of Valenciennes-Mons, France",Data/0003/BMC_MS24/data/BMC_MS24_TEI.xml
MS 48,"De nobilitate, etc.","Poggio Bracciolini, De nobilitate|Epistola poggii florentini ad insignem virum d. Gregorium Corarium sedis ap[osto]lice Prothonotarium|Caroli arentini de nobilitate carmen|Ad clarissimum virum franciscum barbarum Poggii florentini contra auaritiam|Epistola francisci petrarce ad fratrem Iohannem de colonnia|Ad Clementem sextum Romanorum pontificem fugiendam medicorum turbam, epistola eiusdem|Epistola francisci petrarce poete Revocatio amici a periculosis amoribus|Aureus numerus","",Latin,lat,"",Italy,Data/0003/BMC_MS48/data/BMC_MS48_TEI.xml
MS 41,"Orationes ad nicolaum V, etc.","Giannozzo Manetti, Oration to Nicholas V|Poggii Florentini, oratio ad summum pontificem Nicolaum V|Franciscus de Padua de Florentia, Letter to Nicholas V|Leonardo Bruni, Oratiuncula ad Martinum V|Leonardo Bruni, State Letter for the Commune of Florence to the Emperor|Leonardo Bruni, State letter for the Commune of Florence to the Council of Basel","",Latin,lat,"",Italy,Data/0003/BMC_MS41/data/BMC_MS41_TEI.xml
MS 46,"De temporibus pauli II, liber V","Gaspare da Verona, De temporibus pauli II, liber V","",Latin,lat,"",Northern Italy,Data/0003/BMC_MS46/data/BMC_MS46_TEI.xml
BV 49,Subḥat al-abrār.|سبحت الابرار,Subḥat al-abrār.,"Jāmī, 1414-1492",Persian,per,1529 or 1530,"",Data/0003/bv_049/data/bv_049_TEI.xml
BV 71,Devotional book.,[Devotional book].,"",Arabic with one rubric in Persian,per|ara,between 1725 and 1825?,"",Data/0003/bv_071/data/bv_071_TEI.xml
BV 47,al-Mazāmīr al-muqaddasah.|المزامير المقدسة,Mazāmīr al-muqaddasah.,"",Arabic,ara,916 or 917,Levant,Data/0003/bv_047/data/bv_047_TEI.xml
BV 70,al-Qurʼān.|[القرآن],[al-Qurʼān].,"",Arabic,ara,between 1775 and 1850?,"",Data/0003/bv_070/data/bv_070_TEI.xml
BV 48,Devotional book.,[Devotional book],"",Arabic with some titles in Ottoman Turkish,ara|ota,1777,Turkey?,Data/0003/bv_048/data/bv_048_TEI.xml
BV 51,Khamsah.|خمسه,Khamsah.|Haft paykar,"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",Persian,per,between 1405 and 1414?,"Shiraz, Iran",Data/0003/bv_051/data/bv_051_TEI.xml
9LS 30,"Mary Whitall Worthington Diary, Volume 12","July 31, 1909|Pamphlet for, ""Cunard Line Second Cabin Passenger List""|""Abstract of Log R.M.S Lusitania""|August 7, 1909|Program, ""University College, Oxford.""|August 8, 1909|Newspaper clipping, ""The First Arrests""|Newspaper clipping, ""Arrests at Westminster""|Newspaper clipping, ""The Suffrage Demonstration.""|Dance program|August 18, 1909|Advertisement for play, ""Press Cuttings""|Swimming competition program|Program, ""World's Student Christian Federation""|August 22, 1909|August 23, 1909|September 6, 1909|September 9, 1909|October 16, 1909|October 17, 1909|Letter on Court Place, Iffley stationery|Loose leaf notes|September 24, 1909|Concert Program|Grand Charity Concert program|September 30, 1909|November 7, 1909|November 14, 1909|Envelope|Letter to Helen Williston Smith from M. Carey Thomas|The Christian Union of Bryn Mawr College, ""Order of Service""|October 3, 1909|October 11, 1909|Newspaper clipping, ""Younger Suffragists.""|Newspaper clippings, ""Younger Suffragists."" and ""Harvard Rejects Suffragette Plea.""|October 28, 1909|Advertisement for, ""Sophomore Spectacular Scenic Sircus""|November 3, 1909|Newspaper clipping, ""Yale Soccer Team Ties Staten Island""|November 21, 1909|Advertisement for play, ""What Every Woman Knows""|November 28, 1909|December 12, 1909|Dance program|Article, ""Bryn Mawr College and Its Record""|January 7, 1910|January 29, 1910|Expositions of Classical and Modern Chamber Music program|February 10, 1910|February 15, 1910|""Characters of the Play"" program|Newspaper clipping, ""Convict Sunday Football Player""|Newspaper clipping, ""Bryn Mawr Alumni Produce 'Medea'""|Newspaper clipping, ""Scenes from 'Medea' Produced by Bryn Mawr Graduates""|February 19, 1910|Expositions of Classical and Modern Chamber Music program|Newspaper clipping, ""Many Candidates Taken Off Ballots""|January 17,  1910|Newspaper clipping, ""Speakers at Suffragist Meeting Which Indorsed Shirtwaist Strikers""|Envelope|February 20, 1910|Letter from M. Carey Thomas|Chemistry examination|English examination|February 1, 1910|February 3, 1910|February 4, 1910|February 20, 1910|February 9, 1910|Program for play, ""The Amazons""|February 18, 1910|Invitation to College Equal Suffrage League Lecture|February 22, 1910|February 24, 1910|February 27, 1910|March 3, 1910|March 4, 1910|April 24, 1910|March 17, 1910|The Bryn Mawr Christian Association membership card|March 18, 1910|Name card with duck|Glee and Mandolin Clubs of Bryn Mawr College program|March 29, 1910|May 21, 1910|Program for play, ""The Man from Home""|April 6, 1910|June 15, 1910|June 30, 1910|""Appeal for Bryn Mawr's Endowment""|July 9, 1910|July 10, 1910|April 20, 1910|April 20, 1910|Invitation to College Equal Suffrage League Lecture|April 22, 1910|July 10, 1910|April 28, 1910|Award|July 10, 1910|July 11, 1910|May 2, 1910|July 11, 1910|May Day program|May 12, 1910|Program for play, ""Robin Hood""|Robin Hood script|Program for play, ""The Old Wives Tale""|Program for play, ""The Hue and Cry After Cupid""|Program for play, ""A Midsummer Night's Dream""|Program for play, ""The Masque of Flowers""|Program for play, ""The Revesby Sword Play""|Program for play, ""The Play of St. George""|Newspaper clippings|Newspaper clipping, ""Plays, Dances and Revels from Quaint England of Centuries Ago""|Newspaper clipping, ""…Will be Enacted at May Day Festival of Bryn Mawr College Next Saturday""|May 15, 1910|May 19, 1910|May 19, 1910|July 11, 1910|August 15, 1910|Invitation to supper|Program for play, ""When Knighthood was in Favor""|May 22, 1910|July 11, 1910|July 12, 1910|August 15, 1910|Note by Toast Mistress, Hilda Smith|Name card with drawing of girl and ducks|Invitation to College Breakfast|Memo that President Howard Taft is to speak at the Bryn Mawr College Commencement|Commencement program|Candidates for Degrees","",Primary language: English.,eng,From 1909 to 1910,Bryn Mawr (Pa.),Data/0003/9ls_30_v12/data/9ls_30_v12_TEI.xml
BV 56,Notebook of magical formulae.,[Notebook of magical formulae].,"",Arabic,ara,1924,"",Data/0003/bv_056/data/bv_056_TEI.xml
BV 69,Muṣḥaf jalīl fīhi ....|مصحف جليل فيه,Two unidentified leaves|Table of contents|Maymar qālahu Yuḥannā ibn Zabadī ʻalá niyāḥat MartMaryam al-Sayyidah|Shahādat Anbā Qūris wa-Yūḥannā|Qiṣṣat iẓhār ṣalīb rabbinā al-Masīḥ bi-Bayt al-Maqdis,"",Arabic,ara,950?,"Sinai, Egypt",Data/0003/bv_069/data/bv_069_TEI.xml
BV 60,al-Qurʼān.|[القرآن],[al-Qurʼān].,"",Arabic,ara,between 1700 and 1850?,"",Data/0003/bv_060/data/bv_060_TEI.xml
BV 67,Syriac-English dictionary.,[Syriac-English dictionary].,"",Syriac and English,syc|eng,18--?,"",Data/0003/bv_067/data/bv_067_TEI.xml
BV 58,Calligraphic album.,[Calligraphic album].,"Riżā, Ḥasan, active 1889",Arabic,ara,1889 or 1890,Turkey?,Data/0003/bv_058/data/bv_058_TEI.xml
BV 201,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār.|[دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار],[Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār].,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",Arabic,ara,between 1700 and 1799?,North Africa?,Data/0003/bv_201/data/bv_201_TEI.xml
BV 57,Sīrat al-Nabī Muḥammad.|سيرة النبي محمد,Sīrat al-Nabī Muḥammad.,"Ghayṭī, Muḥammad ibn Aḥmad, 1504 or 1505-1573 or 1574",Arabic,ara,1838,"",Data/0003/bv_057/data/bv_057_TEI.xml
BV 68,al-Ḥawḍ.|[الحوض],al-Naṣīḥah|Baḥr al-Dumūʿ|al-Ḥawḍ,"Hawzālī, Muḥammad ibn ʻAlī, -1748 or 1749|Hawzālī, Muḥammad ibn ʻAlī, -1748 or 1749|Hawzālī, Muḥammad ibn ʻAlī, -1748 or 1749",Tashelhit / Shilha,ber,1794,Morocco,Data/0003/bv_068/data/bv_068_TEI.xml
BV 50,Gulistān.|گلستان,Gulistān.,Saʻdī,Persian,per,1582 or 1583,"",Data/0003/bv_050/data/bv_050_TEI.xml
MS 2,De regimine principum,"Preface to De regimine principum|Table of chapters, Bk. I, part 1: Incipiunt capitula prime partis libri primi|De regimine principum|Table of chapters, Book II, part 2 through Book III, part 2: Incipiunt Rubrice capitulorum secundae partis secundi libri de regimine principum|Office of Saint Catherine: Officium beate Katerine uirginis quod ordinauit dominus Johannes papa xxii...|Blank, faint palimpsest","",Latin,lat,"",France,Data/0003/BMC_MS02/data/BMC_MS02_TEI.xml
MS 5,Commentarius in librum II sententiarum petri lombardi,Index|Commentary on Book II of Peter Lombard's Sentences,"",Latin,lat,"",Eastern Germany or Poland,Data/0003/BMC_MS05/data/BMC_MS05_TEI.xml
MS 33,"Radnor hours #2, use uncertain","Gospel Pericopes|Obsecro te|Hours of the Virgin|Suffrages to the Holy Spirit, the Trinity, Michael, John the Baptist, Peter, and Nicholas|Resumption of the Hours of the Virgin|Penitential Psalms|Litany of the Saints|Hours of the Cross|Hours of the Dead|Fifteen Joys of the Virgin","",Latin,lat,"",France,Data/0003/BMC_MS33/data/BMC_MS33_TEI.xml
MS 34,Radnor Missal,Cantus|Blessing of the Paschal Candle and Litany|Blessing of the Candle|Order for the Feast of the Purification of the Blessed Virgin Mary and the Blessing of the Candles|Order for the Blessing of the Branches on Palm Sunday|The Blessing of Salt and Water and Litany,"",Latin,lat,"",Southern Germany,Data/0003/BMC_MS34/data/BMC_MS34_TEI.xml
MS 51,Processional (Use of the Dominican nuns of Poissy),Procession for the Purification of the Virgin|Procession for Palm Sunday|Holy Thursday Washing of the Altars|Gospel Reading after the Mandatum on Holy Thursday|Prayers before the Mass|Holy Thursday Mandatum|Adoration of the Cross on Holy Friday|Procession for Easter and the Following Days|Procession for the Ascension|Procession for Corpus Christi|Procession for the Feast of Saint Dominic|Procession for the Assumption|Procession for the Reception of Legates|Procession for the Reception of a Secular Prince|Procession for the Feast of Corpus Christi|Procession for the Feast of Saint John the Baptist|Procession for the Feast of Saint Dominic|Procession for the Feast of Saint Louis|Procession for the Nativity of the Virgin|Chants Accompanying the Profession of a Religious|Hymn Sung When One Enters Religious Life|The Washing of the Altars on Holy Thursday for the Chruch of Saint Louis in Poissy,"",Latin; Middle French (ca. 1400-1600),lat|frm,"","Poissy, Northern France",Data/0003/BMC_MS51/data/BMC_MS51_TEI.xml
MS 56,Middle Dutch Prayer Book,"[Prayer to God]|[Prayers to the Blessed Virgin, interspersed with rubrics listing the Psalms]|[Monday]|[Tuesday]|[Wednesday]|[Thursday]|[Friday]|[Saturday]|[Sunday Vespers]|[Monday Vespers]|[Wednesday Vespers]|[Thursday]|[Friday Vespers]|[Saturday Vespers]|[Te Deum of the Virgin]|[Litany to the Virgin]|[Seven Psalms of the Virgin]|[Seven Psalms of the Virgin]|[Prayer to the Virgin]|[Twenty-two Ave Marias]|[Prayer to the Virgin]|[Seven Joys of the Virgin]|[Seven Joys of the Virgin]|[Prayer to the Virgin]|[Prayer to the Virgin at the hour of death]|[Prayer of Saint Bernard to the Virgin]|[Prayer of Saint Bernard to the Virgin]|[Prayer to the Trinity]|[Prayer of Saint Augustine]|[Prayer of Saint Francis]|[Prayer of Saint Augustine at the Holy Sacrament]|[Seven prayers it is good to say at Mass]|[Prayer of St. Francis greeting the Lord]|[Prayer to the wounds of Christ]|[Prayer to the wounds of Christ]|[Prayer to the sorrows of Christ]|Prayer, Pater noster|Prayer, Ave Maria|Inscription, huernynck[?]","",Middle Dutch (ca. 1050-1350); Latin,dum|lat,"",Netherlands,Data/0003/BMC_MS56/data/BMC_MS56_TEI.xml
MS 35,De miseria conditionis humanae,De miseria conditionis humanae|Prima pars|Secunda pars|Tercia pars,"",Latin,lat,"",Italy,Data/0003/BMC_MS35/data/BMC_MS35_TEI.xml
MS 32,"Radnor Hours, Use of Rome","Calendar of Bruges|Short Hours of the Holy Cross|Short Hours of the Holy Spirit|Mass of the Virgin, use of Rome|Obsecro te|Hours of the Virgin, use of Rome|Penitential Psalms and Litany|Office of the Dead, use of Rome|Suffrage to Saint Sebastian","",Latin,lat,"",Bruges,Data/0003/BMC_MS32/data/BMC_MS32_TEI.xml
MS 4,"Canon medicinae, liber V","Canon medicinae, liber V","",Latin,lat,"",Spain,Data/0003/BMC_MS04/data/BMC_MS04_TEI.xml
MS 3,Mariale; De laudibus beatae mariae virginis,"Albertus Magnus, Mariale|Table of contents for Albertus Magnus, Mariale|Jacobus de Voragine, De laudibus Beatae Mariae Virginis|Table of contents for Jacobus de Voragine, De laudibus Beatae Mariae Virginis","",Latin,lat,"",Germany,Data/0003/BMC_MS03/data/BMC_MS03_TEI.xml
MS 57,"Antonius de Vercellis, Tractatus de virtutibus",Tractatus de virtutibus,"",Latin,lat,"",Italy?,Data/0003/BMC_MS57/data/BMC_MS57_TEI.xml
MS 50,"Liturgical Miscellany with Prayers, Office of St. Catherine, Mass of the Virgin, and Biblical Readings, etc.","Prayers said at of the canonical hours, in Italian|Commemoration of the Blessed Virgin Mary, Latin|Prayers, Latin|Prayer by Thomas Aquinas, Latin|Prayers, Latin|Prayers, Italian|Prayers, Latin|Prayers, Italian|Prayers, Latin|Prayers, Italian|Prayers, Latin|Prayers, Italian|Prayers, Latin|Office of Saint Catherine of Alexandria|Prayers, Latin|Prayers, Italian|Prayers, Latin|Prayers at the Elevation of the Host|Prayers and Litany, Latin|The Mass in honor of Mary|Beginning of John's Gospel|Hymn, Prayers, Litanies, Athanasian Creed; in Latin|Additional Text in Italian|One Hundred Meditations and Petitions of Christ's Suffering","",Latin; Italian,lat|ita,"","Florence?, Italy",Data/0003/BMC_MS50/data/BMC_MS50_TEI.xml
MS 43,"De bello italico adversus gothos, etc.","Leonardo Bruni / De bello italico adversus gothos, etc.|Letter IX.13|Letter IX.5","",Latin,lat,"",Northern Italy,Data/0003/BMC_MS43/data/BMC_MS43_TEI.xml
MS 44,Epistolae familiares,Leonardi arretini epistolarum liber primus|Leonardi arretini epistolarum liber secundus|Leonardi arretini epistolarum liber tertius|Leonardi arretini epistolarum liber quartus|Leonardi arretini epistolarum liber quintus|Leonardi arretini epistolarum liber sextus|Leonardi arretini epistolarum liber septimus|Leonardi arretini epistolarum liber octavus|[Book Nine],"",Latin,lat,"",Italy,Data/0003/BMC_MS44/data/BMC_MS44_TEI.xml
MS 21,"Castle hours #3, use uncertain","Calendar|Gospel Lessons|Hours of the Virgin, use uncertain|Penitential Psalms, Litany, and Prayers|Prayers to the Virgin, beginning with Salve regina|Suffrages|Short Office of the Cross|Office of the Dead|Prayers, beginning with Avete omnes animae fideles|Prayer, in French, in a different hand","",Latin; Middle French (ca. 1400-1600),lat|frm,"",Northern France,Data/0003/BMC_MS21/data/BMC_MS21_TEI.xml
